image,gt_weather,pred_weather,confidence,lane_visibility,lane_count,trusted,mode,correct
0c140522-227e6f11.jpg,clear,snowy,0.7493087649345398,unknown,0,True,slow,False
0c140522-681c508d.jpg,clear,snowy,0.486805260181427,unknown,0,True,slow,False
1a26b1b6-d0eceb5e.jpg,clear,clear,0.95903080701828,unknown,0,True,normal,True
1a7cf499-5d67ee0f.jpg,clear,clear,0.8923993110656738,unknown,0,True,normal,True
b0253ab0-7f908976.jpg,clear,clear,0.5757972598075867,unknown,0,True,normal,True
b0376ecf-07c434f7.jpg,clear,clear,0.39154472947120667,unknown,0,False,caution,True
b0521762-565e20cd.jpg,clear,snowy,0.7486792802810669,unknown,0,True,slow,False
b0674bdf-53086b4d.jpg,clear,clear,0.7675045728683472,unknown,0,True,normal,True
b10af931-d3a3f406.jpg,clear,clear,0.8444938063621521,unknown,0,True,normal,True
b119cba4-97470cf0.jpg,clear,clear,0.686896800994873,unknown,0,True,normal,True
b11c4658-02274017.jpg,clear,clear,0.8940185904502869,unknown,0,True,normal,True
b11cf230-30f5e1a1.jpg,clear,snowy,0.7636688351631165,unknown,0,True,slow,False
b1357bde-3959beae.jpg,clear,clear,0.9071680903434753,unknown,0,True,normal,True
b1441e28-1bdefdcc.jpg,clear,rainy,0.3328477144241333,unknown,0,False,caution,False
b1441e28-237c656a.jpg,clear,clear,0.8005952835083008,unknown,0,True,normal,True
b1441e28-2ce5325b.jpg,clear,snowy,0.8418769240379333,unknown,0,True,slow,False
b145825b-bedacfac.jpg,clear,clear,0.831699788570404,unknown,0,True,normal,True
b145825b-c84b351f.jpg,clear,clear,0.7407694458961487,unknown,0,True,normal,True
b15cf23b-43af79e6.jpg,clear,clear,0.8465374708175659,unknown,0,True,normal,True
b178ca72-5f6de010.jpg,clear,clear,0.9179785251617432,unknown,0,True,normal,True
b178ca72-cd72c569.jpg,clear,clear,0.880279541015625,unknown,0,True,normal,True
b180400c-55e8cfd8.jpg,clear,snowy,0.5770154595375061,unknown,0,True,slow,False
b19a5c8b-a9ea1582.jpg,clear,clear,0.6608290076255798,unknown,0,True,normal,True
